freq_Hz,Re_Y11,Im_Y11,Re_Y12,Im_Y12,Re_Y13,Im_Y13,Re_Y21,Im_Y21,Re_Y22,Im_Y22,Re_Y23,Im_Y23,Re_Y31,Im_Y31,Re_Y32,Im_Y32,Re_Y33,Im_Y33
1.0,-0.0025315106260066934,0.0009520114104944744,0.00014613070015304002,0.000960945911470342,-8.375639673199606e-8,-9.842851429174595e-8,-3.013618871580641e-8,-5.4133472743980835e-9,-0.006386978267822482,0.0012717466478459,8.079171054917129e-9,-5.220600851505049e-9,6.074668298576575e-7,-3.0689011513607824e-7,-2.1236962757282538e-6,6.773011771965738e-7,0.006671234055770532,1.2277922939613994e-5
1.0353218432956621,-0.0025315130032959633,0.0009856679637201458,0.00016102155227970863,0.0009915442239612283,-7.650337585951032e-8,-1.1478321268048854e-7,-3.237015411286982e-8,-5.990354021687377e-9,-0.006367864378550894,0.0013123094615780841,9.132121239712934e-9,-6.160708786813235e-9,6.461067752573534e-7,-3.3943787702081277e-7,-2.262761699922903e-6,7.478314426562924e-7,0.006671894766218459,1.3539331434951833e-5
1.0718913192051278,-0.0025315155911153847,0.0010205166113262732,0.00017687549050544985,0.0010228816577980298,-6.697428069879535e-8,-1.3393106656306627e-7,-3.477404192774158e-8,-6.6276463076166936e-9,-0.006347516512114626,0.0013538598406048067,1.0309381960406428e-8,-7.266089515271548e-9,6.868142399219582e-7,-3.753521113222713e-7,-2.409950460631133e-6,8.254232023513358e-7,0.006672649508757159,1.4923542207291112e-5
1.109752496412072,-0.00253151840978701,0.001056599823662417,0.00019374705649124926,0.001054951307178773,-5.4792661068100014e-8,-1.5635369008949145e-7,-3.736130117888756e-8,-7.3313162181187075e-9,-0.006325865125783012,0.001396389658664717,1.1622630561307337e-8,-8.56474983855293e-9,7.296405969528866e-7,-4.149657219062689e-7,-2.5656002026836764e-6,9.107335044943572e-7,0.006673511323589477,1.644124754533866e-5
1.1489510001873091,-0.0025315214817142797,0.0010939616116282776,0.00021169280317775456,0.0010877431674899405,-3.953364055968056e-8,-1.8261510617002554e-7,-4.0146499274958275e-8,-8.108038226719313e-9,-0.00630283816838275,0.001439886784360184,1.3083904023492663e-8,-1.0089171797480109e-8,7.74628249959711e-7,-4.586418389452047e-7,-2.7300429806545224e-6,1.004471876744088e-6,0.006674494984264958,1.8103831339048857e-5
1.1895340673703196,-0.002531524831592817,0.00113264758561547,0.0002307712126303212,0.0011212438376555017,-2.0719381424817864e-8,-2.133754813977437e-7,-4.314541862378355e-8,-8.965119983916894e-9,-0.006278361195711207,0.0014843346948266941,1.47053914407385e-8,-1.1876958476320371e-8,8.218084792098675e-7,-5.067760963545412e-7,-2.9036017676803434e-6,1.107403032476693e-6,0.006675617211823784,1.9923365245565704e-5
1.2315506032928256,-0.002531528486639291,0.0011727050170424855,0.0002510425855732867,0.0011554362100735583,2.1855168280831043e-9,-2.494070361969267e-7,-4.637516143788211e-8,-9.910556945200482e-9,-0.006252357523466432,0.0015297120733415378,1.6499151248999628e-8,-1.3971555278872067e-8,8.711989824131527e-7,-5.597990000513243e-7,-3.0865865054127366e-6,1.2203494520468812e-6,0.006676896911904372,2.1912592153071243e-5
1.2750512407130132,-0.0025315324768391666,0.0012141829026327418,0.0002725688993189748,0.0011902991499041712,2.9778575725036802e-8,-2.916124441711466e-7,-4.985426333236368e-8,-1.0953091081618687e-8,-0.0062247484220335735,0.001575992393181986,1.8476735974924085e-8,-1.6423050837716594e-8,9.228010793234165e-7,-6.181783756711571e-7,-3.2792896728398123e-6,1.344193779863646e-6,0.006678355436522326,2.4084893882785366e-5
1.3200884008314178,-0.0025315368352136114,0.0012571320315974744,0.00029541363070558277,0.0012258071659871667,6.272380684981694e-8,-3.410460721415583e-7,-5.360281627357535e-8,-1.2102273979518063e-8,-0.006195453357588553,0.001623143490715718,2.0648704312654555e-8,-1.9289060554493758e-8,9.765965479756796e-7,-6.824218810013471e-7,-3.4819813571335694e-6,1.4798809699032201e-6,0.006680016872182255,2.6454239563043032e-5
1.3667163564620066,-0.002531541598105746,0.0013016050558984145,0.0003196415406237867,0.0012619300762450436,1.0175570042230904e-7,-3.9893845247600133e-7,-5.764260157369229e-8,-1.3368534635542782e-8,-0.006164390284028828,0.0016711271314586867,2.3023997115037196e-8,-2.2635694085144665e-8,1.0325440593093562e-6,-7.530795646165043e-7,-3.6949038168892244e-6,1.6284201039509676e-6,0.006681908355885822,2.9035110544014127e-5
1.414991297434576,-0.0025315468054860086,0.0013476565637796614,0.00034531841674712856,0.0012986326710622263,1.4768258716428013e-7,-4.6672442151589435e-7,-6.199723346986877e-8,-1.4763252325823651e-8,-0.006131475990197944,0.0017198985736656832,2.5609150350526168e-8,-2.6538605760862175e-8,1.0905751762435054e-6,-8.307464480357705e-7,-3.918265537246249e-6,1.7908857987898242e-6,0.006684060420436241,3.184239709487189e-5
1.4649713983072858,-0.0025315525012757035,0.0013953431567740276,0.0003725107712043569,0.0013358743788235287,2.0138906101979803e-7,-5.460754017067599e-7,-6.669231400133676e-8,-1.629883498463974e-8,-0.006096626506714927,0.0017694061349217268,2.840731432173066e-8,-3.1084123831310916e-8,1.1505898830483464e-6,-9.160651041911742e-7,-4.15223478765675e-6,1.968419110942366e-6,0.0066865073701978675,3.4891261435761727e-5
1.516716888470923,-0.0025315587336875206,0.0014447235304066537,0.0004012854901577908,0.0013736089385351534,2.638370703999307e-7,-6.389363495405478e-7,-7.175559978739382e-8,-1.7988803611857783e-8,-0.006059757576428494,0.001819590768168467,3.141704452309111e-8,-3.63704503962834e-8,1.212451611240114e-6,-1.0097282001466219e-6,-4.3969327067031585e-6,2.1622278408985597e-6,0.00668928768813194,3.819696090479049e-5
1.5702901247293772,-0.0025315655555807957,0.0014958585588379935,0.0004317094326007497,0.0014117840852297795,3.3606519070124517e-7,-7.475679355257299e-7,-7.721718137466005e-8,-1.984788331899443e-8,-0.006020785192066551,0.0018703856546153856,3.463082551647634e-8,-4.250891877763533e-8,1.2759817292660573e-6,-1.1124809669067567e-6,-4.652425954303409e-6,2.3735861336360747e-6,0.00669244447447885,4.1774624247313716e-5
1.6257556664437942,-0.0025315730248281405,0.001548811383709531,0.0004638489761754769,0.0014503412546584202,4.19185478206265e-7,-8.74594564545492e-7,-8.310967576333675e-8,-2.18921017804057e-8,-0.005979626204019325,0.001921715822030918,3.803328531519198e-8,-4.96252887186578e-8,1.340953465101964e-6,-1.2251235539041737e-6,-4.918718990156593e-6,2.6038332688515666e-6,0.006696025916871899,4.5638973145037086e-5
1.6831803533309568,-0.002531581204689586,0.0016036475074790574,0.0004977695084601143,0.001489215314576124,5.143771727953666e-7,-1.0230588832059845e-6,-8.946843283119217e-8,-2.4138895972176872e-8,-0.00593619900035721,0.0019734977979579452,4.159905412477983e-8,-5.786105200514489e-8,1.4070852336157912e-6,-1.3485132204800447e-6,-5.19574605794603e-6,2.8543715339213585e-6,0.006700085790925859,4.980398018229657e-5
1.7426333860096501,-0.002531590164188321,0.001660434891558228,0.0005335348629934697,0.0015283343307107792,6.228763617029937e-7,-1.196483452599175e-6,-9.633175622910044e-8,-2.660722835042792e-8,-0.005890424260120882,0.002025639308418759,4.529021820793294e-8,-6.737471172155509e-8,1.4740333442511605e-6,-1.4835663115363927e-6,-5.483362977818478e-6,3.1266630752625366e-6,0.006704683989420413,5.428245348624873e-5
1.8041864093920723,-0.002531599978480742,0.0017192440595938374,0.0005712067003148905,0.0015676193762341245,7.459605359069999e-7,-1.3989402870987206e-6,-1.0374113949765812e-7,-2.9317713759271668e-8,-0.00584222577961455,0.0020780390336266417,4.905331735425845e-8,-7.834298722976762e-8,1.5413840693772944e-6,-1.631259959724888e-6,-5.781338874195449e-6,3.422225630555312e-6,0.006709887077067703,5.9085537289669516e-5
1.8679135990207825,-0.0025316107292118737,0.0017801482062657092,0.0006108438354997695,0.0016069843941949951,8.84926762069009e-7,-1.635128968527449e-6,-1.1174151804411924e-7,-3.229275878223139e-8,-0.005791531369871714,0.002130586433057365,5.281583339244056e-8,-9.096188398690075e-8,1.6086450594429036e-6,-1.792633452331756e-6,-6.08934799183036e-6,3.7426270560731577e-6,0.006715768866485919,6.42221166671668e-5
1.933891750455231,-0.002531622504844797,0.001843223312009388,0.0006525015150753527,0.0016463361228853779,1.0410619529445429e-6,-1.9104640354482666e-6,-1.2038153778957046e-7,-3.5556715474217216e-8,-0.005738273821642551,0.0021831616529001145,5.6482117789264285e-8,-1.05447552403661e-7,1.6752360980344676e-6,-1.968789197602397e-6,-6.406961779200433e-6,4.089478580336397e-6,0.006722411009367051,6.969811371006194e-5
2.0022003718155843,-0.0025316354009500223,0.0019085482641103834,0.0006962306477990202,0.0016855740944437061,1.2156034454148725e-6,-2.231172313547016e-6,-1.2971384125026684e-7,-3.913605190861112e-8,-0.005682391932179332,0.002235635529343051,5.992870915440365e-8,-1.2203684311162161e-7,1.7404791978239364e-6,-2.1608932230070202e-6,-6.733641443852201e-6,4.464426738677864e-6,0.006729903594894491,7.551566145937478e-5
2.0729217795953714,-0.0025316495204383642,0.001976204984659902,0.0007420769955604929,0.0017245907171070012,1.4096877845404508e-6,-2.6044007881355874e-6,-1.397953720596912e-7,-4.305954245041524e-8,-0.005623831585789377,0.0022878697012890486,6.299899701495031e-8,-1.4098744729452114e-7,1.803588047247877e-6,-2.3701751371625982e-6,-7.068731208032629e-6,4.8691439731376825e-6,0.006738345745201523,8.167214104395564e-5
2.146141197858404,-0.0025316649737169576,0.002046278565909716,0.0007900803326034124,0.0017632714513521892,1.6242852620979898e-6,-3.0383355151238836e-6,-1.506876989873107e-7,-4.7358481168804e-8,-0.005562546877617016,0.002339716845874547,6.549719718892398e-8,-1.6257749037773714e-7,1.863656827259001e-6,-2.5979274880829274e-6,-7.411452513258534e-6,5.305317918697586e-6,0.006747846195029142,8.815906671224038e-5
2.2219468609395236,-0.0025316818787449544,0.002118857413616919,0.0008402735833143865,0.0018014950896655085,1.8601173664915826e-6,-3.5423319123294976e-6,-1.6245736081872555e-7,-5.20669225545968e-8,-0.005498501267456767,0.0023910210495117937,6.718161713241407e-8,-1.8710442562299732e-7,1.9196484273947654e-6,-2.8455044535914256e-6,-7.76089943782249e-6,5.774639440270457e-6,0.006758523839704235,9.496080284952324e-5
2.3004301197729182,-0.0025317003609605314,0.0021940333990284468,0.0008926819509452258,0.001839134148799238,2.1175538661026346e-6,-4.127056556525846e-6,-1.7517623373160827e-7,-5.7221954322529155e-8,-0.005431668747656841,0.0024416183260292414,6.775720752294247e-8,-2.1488305155571347e-7,1.970382100352607e-6,-3.1143198052245642e-6,-8.116035599755325e-6,6.278789534623364e-6,0.006770508232076937,0.00010205309669586278
2.3816855519761586,-0.0025317205530465824,0.0022719020202211383,0.0009473220517519248,0.0018760553820752457,2.3964857698616436e-6,-4.804640318855923e-6,-1.889219231936622e-7,-6.286400800407168e-8,-0.005362035006432386,0.002491337291792505,6.686741976249797e-8,-2.4624245424885486e-7,2.014520603712777e-6,-3.4058440951807717e-6,-8.475692817692758e-6,6.81942526631497e-6,0.0067839400050873485,0.0001094014103911649
2.465811075822603,-0.00253174259449708,0.0023525625735866377,0.0010042010710708605,0.001912120417543962,2.6961698867152663e-6,-5.588842284967679e-6,-2.0377818291840377e-7,-6.903721390627356e-8,-0.0052895985652762455,0.0025400000054085887,6.408541878786299e-8,-2.8152165316295316e-7,2.050556885840021e-6,-3.7216010269679064e-6,-8.838571791466877e-6,7.398164965982305e-6,0.00679897119213127,0.00011695903625615184
2.552908068239517,-0.002531766630939615,0.0024361183363328233,0.0010633159597150518,0.0019471865255893356,3.015040143425318e-6,-6.4952234062244846e-6,-2.1983536401184235e-7,-7.57898080312515e-8,-0.005214371866753964,0.002587422976728497,5.890473713668229e-8,-3.210637084551202e-7,2.0768003796528705e-6,-4.063162984451425e-6,-9.203245041651737e-6,8.016572980377008e-6,0.0068157654123139596,0.00012466497997029116
2.643081486974105,-0.002531792813163585,0.002522676760965487,0.0011246526906578023,0.0019811075168877437,3.3504802213262255e-6,-7.5413281904357985e-6,-2.3719089831020885e-7,-8.317459968455365e-8,-0.005136382286934893,0.0026334183463717674,5.0729500297318396e-8,-3.6520802967369117e-7,2.0913629721348798e-6,-4.432145710950587e-6,-9.56816231129698e-6,8.676144324266849e-6,0.006834497881968053,0.00013244159765248405
2.7364399970746707,-0.002531821295795104,0.002612349682817628,0.0011881855971664925,0.0020137347685078915,3.698551447307532e-6,-8.746871936548583e-6,-2.559498205995327e-7,-9.1249509706269e-8,-0.005055673045187211,0.0026777952329351774,3.8864405311278914e-8,-4.142806119196132e-7,2.0921447182941263e-6,-4.830202149759452e-6,-9.93165858288753e-6,9.378289641791804e-6,0.006855355207411439,0.00014019197493803423
2.8330961018393244,-0.002531852235551589,0.0027052535418098443,0.0012538768142439213,0.0020449183724318685,4.0536692349651685e-6,-1.0133930013973872e-5,-2.762253357246781e-7,-1.0007819057917825e-7,-0.004972303983197833,0.002720361240486013,2.2504694796108417e-8,-4.685819174824939e-7,2.076819365000617e-6,-5.2590154795377904e-6,-1.029196479933546e-5,1.0124320935531275e-5,0.006878534906777994,0.0001477970391652784
2.9331662783900447,-0.0025318857889988387,0.002801509619756523,0.0013216758453205928,0.0020745083969660122,4.408220739760175e-6,-1.1727124444981058e-5,-2.9813943773770833e-7,-1.0973074109477623e-7,-0.004886352185009127,0.002760924113983566,7.264370783548739e-10,-5.283721204195956e-7,2.042819741902717e-6,-5.72029140184597e-6,-1.0647221299797033e-5,1.0915438561914935e-5,0.006904244600815257,0.00015511239997536254
3.036771118035458,-0.002531922109722243,0.002901244294680193,0.0013915192755239352,0.002102356247504204,4.752115797264008e-6,-1.3553801522603807e-5,-3.218235896149509e-7,-1.202845298233047e-7,-0.004797912410716981,0.0027992935250658905,-2.752250000153319e-8,-5.938534405012592e-7,1.9873230626198494e-6,-6.215749763060263e-6,-1.0995493891472498e-5,1.1752720018289632e-5,0.0069327008037685465,0.00016196491929099883
3.1440354715914998,-0.002531961344809995,0.003004589313763569,0.0014633306514551683,0.002128316109044553,5.072262699189141e-6,-1.564419233582559e-5,-3.4741947376018085e-7,-1.3182514332911843e-7,-0.00470709731834691,0.0028352829653628016,-6.343030905014462e-8,-6.651493135679542e-7,1.9072361591156284e-6,-6.747115617936806e-6,-1.1334792379599452e-5,1.2637111056091552e-5,0.006964127235843765,0.00016814901915737903
3.2550885998350583,-0.002532003630532012,0.0031116820867579365,0.0015370205451848212,0.0021522464489053096,5.351959988743847e-6,-1.803154582135615e-5,-3.750798254126504e-7,-1.4444747689169499e-7,-0.004614037451377023,0.0028687117193631874,-1.0832737157521246e-7,-7.422801800202807e-7,1.7991806449446166e-6,-7.316109866101927e-6,-1.166309127337015e-5,1.3569419643948996e-5,0.006998752568291301,0.00017342274578331117
3.370064329271928,-0.0025320490870786253,0.0032226660018811306,0.0016124868171242452,0.0021740115544185345,5.570195308233268e-6,-2.075222125633859e-5,-4.049693628848771e-7,-1.5825698762911894e-7,-0.004518880973421745,0.0028994068841112553,-1.6368998973243224e-7,-8.2513572467212e-7,1.6594779687577536e-6,-7.92443961463794e-6,-1.1978352280202859e-5,1.4550313271457455e-5,0.0070368075009886785,0.00017750362091664216
3.489101213406773,-0.00253209781220308,0.0033376907664817612,0.001689615088575658,0.002193483077190889,5.700842522192248e-6,-2.3845723886762774e-5,-4.3726583105230583e-7,-1.733711321785136e-7,-0.004421793136686559,0.002927205398880668,-2.3114094994631497e-7,-9.134434726724174e-7,1.4841342779394898e-6,-8.573788438196887e-6,-1.2278548099592093e-5,1.558032002846156e-5,0.007078521060750333,0.00018006432816797903
3.6123426997094312,-0.00253214987358521,0.0034569127750237023,0.0017682794301864069,0.002210541552999168,5.711749019404296e-6,-2.735466359496357e-5,-4.721611768077448e-7,-1.8992101383273285e-7,-0.004322955476848722,0.0029519560447252395,-3.1244603554446773e-7,-1.0067337414809325e-6,1.2688249637644145e-6,-9.26580672164478e-6,-1.2561686936792741e-5,1.6659833816129102e-5,0.00712411599687737,0.00018072830295770236
3.739937302478798,-0.0025322052997037475,0.003580495507260494,0.0018483432673618324,0.0022250778647105417,5.563706468133776e-6,-3.132461210286888e-5,-5.098628780758289e-7,-2.0805326701060025e-7,-0.00422256473384697,0.0029735213716596447,-4.095054906680798e-7,-1.1043010725768566e-6,1.0088787045136444e-6,-1.0002102277645771e-5,-1.2825837081300226e-5,1.778912394673404e-5,0.007173803139369099,0.00017906532145700222
3.872038781812555,-0.0025322640689672197,0.0037086099598293678,0.0019296604980977416,0.0022369946149334904,5.209300616552187e-6,-3.580382916991207e-5,-5.505954509608005e-7,-2.2793221073815933e-7,-0.00412083150545085,0.002991779510379698,-5.243393219884528e-7,-1.2051624243775003e-6,6.992607621558112e-7,-1.0784231432040604e-5,-1.3069150840866693e-5,1.8968349272956503e-5,0.007227774575825302,0.00017458721741637473
4.008806328898465,-0.002532326096808921,0.0038414351149065585,0.0020120768128925573,0.0022462073755268918,4.591639319834006e-6,-4.0842822608470016e-5,-5.946021630209793e-7,-2.497423069905684e-7,-0.004017978648150715,0.00300662582603439,-6.590652122652499e-7,-1.3080126067261804e-6,3.3455522247632885e-7,-1.1613690762222658e-5,-1.328988709351557e-5,2.0197576858933258e-5,0.007286195496971828,0.00016674389740441137
4.150404757850476,-0.002532391220397714,0.003979158450036307,0.002095431200631567,0.002252645782683061,3.642963233911781e-6,-4.6493700815314496e-5,-6.421469846509501e-7,-2.736909650690732e-7,-0.003914239447548588,0.003017974373692003,-8.158677168660693e-7,-1.4111776855809079e-6,-9.105420111261162e-8,-1.249190965766553e-5,-1.3486431720390503e-5,2.147680507136856e-5,0.0073491945602249305,0.00015491987597860568
4.297004704320841,-0.002532459180550559,0.004121976493786478,0.00217955761886536,0.0022562544490588644,2.2831510159597564e-6,-5.2809270131984254e-5,-6.935168149079436e-7,-3.000117393862126e-7,-0.00380985558770003,0.0030257591188049982,-9.96957330701654e-7,-1.5125673938496834e-6,-5.838052526205919e-7,-1.3420243846978603e-5,-1.3657315213606725e-5,2.2805990836384622e-5,0.007416852628928859,0.00013843161374566034
4.448782831127585,-0.0025325296003535515,0.004270095432503848,0.002264286801991612,0.002256993668297932,4.181409495472149e-7,-5.9841823094324515e-5,-7.49024023423665e-7,-3.2896797561825144e-7,-0.0037050749554185173,0.003029934891095961,-1.204517963156723e-6,-1.6096279609864169e-6,-1.150380634710907e-6,-1.4399970002529461e-5,-1.3801226814708458e-5,2.4185080684714128e-5,0.007489189766068625,0.00011652601372953712
4.605922041145106,-0.0025326019599018396,0.004423731774156241,0.0023494481767447764,0.0022548398921426083,-2.061695758604583e-6,-6.764155813724958e-5,-8.090093560937186e-7,-3.608569693849271e-7,-0.0036001493210869344,0.00303047804670037,-1.4406413634236599e-6,-1.6992972300118823e-6,-1.797934529925689e-6,-1.543228149233906e-5,-1.3917024628975773e-5,2.5614045101510077e-5,0.007566150400801833,8.838051463933151e-5
4.768611697714471,-0.00253267556645158,0.0045831130760718075,0.0024348718513186735,0.0022497859659947185,-5.283177629598712e-6,-7.625456751318139e-5,-8.738452597139172e-7,-3.960147126726722e-7,-0.003495331941746023,0.0030273868208752193,-1.7072471274692602e-6,-1.7779644736395954e-6,-2.5341228235525817e-6,-1.651828530041975e-5,-1.4003741274276353e-5,2.7092915615164692e-5,0.00764758665077773,5.310531171388046e-5
4.937047852839003,-0.0025327495191361017,0.00474847874433678,0.00252039064256491,0.0022418411150165905,-9.391857751256719e-6,-8.572032936929024e-5,-9.439396895550758e-7,-4.348213165616689e-7,-0.0033908751349297534,0.003020681361815279,-2.0059871298539534e-6,-1.8414379530585797e-6,-3.367137789384403e-6,-1.765900008199568e-5,-1.4060584754319911e-5,2.862182400717111e-5,0.007733239880810231,9.748332740652049e-6
5.111433483440167,-0.0025328226672229216,0.00492008091371625,0.002605842105138949,0.0022310306793991226,-1.4553391241866718e-5,-9.606864386315247e-5,-1.0197404745227614e-6,-4.777072150455971e-7,-0.003287027872750412,0.0030104034447630016,-2.338133608979308e-6,-1.884923975179899e-6,-4.305748082206598e-6,-1.8855355260456386e-5,-1.4086934387842799e-5,3.020104300765977e-5,0.00782272071772731,-4.26963087184465e-5
5.291978735958442,-0.0025328935606790887,0.005098185418240404,0.0026910705272547284,0.0022173956039717303,-2.0954595842342618e-5,-0.00010731596410986646,-1.101740327997184e-6,-5.251602739228014e-7,-0.003184033445048055,0.002996615874280432,-2.70445075361424e-6,-1.903021971216764e-6,-5.359344967884878e-6,-2.0108191009351122e-5,-1.4082331769042054e-5,3.183102785982311e-5,0.007915487930765587,-0.00010527558059229235
5.478901179593942,-0.0025329603915595685,0.005283072864090246,0.0027759288598354754,0.00220099169359743,-2.8804043130109968e-5,-0.0001194610933254598,-1.190482608273957e-6,-5.777339522191676e-7,-0.0030821272380462355,0.002979401590895661,-3.1050505598663597e-6,-1.8897408906967121e-6,-6.537995816625784e-6,-2.1418258896510147e-5,-1.4046466871983453e-5,3.351245819276353e-5,0.008010826833814072,-0.00017905966880834876
5.672426068491979,-0.0025330209244069824,0.005475039818158598,0.002860280549228289,0.0021818886515077517,-3.833198392302335e-5,-0.00013248025272849417,-1.2865679525804735e-6,-6.360566913071358e-7,-0.0029815346710241847,0.002958862505988183,-3.5392350194186033e-6,-1.8385428952505637e-6,-7.852505990667538e-6,-2.2786222898894222e-5,-1.397915953449416e-5,3.5246279733683646e-5,0.008107828173379664,-0.0002651181376662483
5.872786613189481,-0.0025330724134800652,0.005674400127690525,0.0029440012481346555,0.002160168922641591,-4.978938025788195e-5,-0.00014632157352214333,-1.3906619329428765e-6,-7.0084274053482e-7,-0.002882469328229276,0.0029351180954256717,-4.005328417863403e-6,-1.7424208173424936e-6,-9.31449037920889e-6,-2.4212660426325445e-5,-1.3880336657939227e-5,3.703374551379943e-5,0.008205368830449856,-0.0003644893594004826
6.080224261649422,-0.002533111504142647,0.005881486388813599,0.0030269803848058797,0.002135926367959926,-6.344579339061492e-5,-0.00016089913290943426,-1.5035039122464572e-6,-7.729046682043843e-7,-0.0027851313168813963,0.0029083037878599688,-4.5005056900964386e-6,-1.5940159427045139e-6,-1.0936455977020156e-5,-2.5698062919246348e-5,-1.3750005531863855e-5,3.8876456373448396e-5,0.008302096070193773,-0.00047814266917234083
