1,-0.0025315+1i*(0.000952035),0.000146115+1i*(0.000960865),-9.1674e-07+1i*(-8.74253e-07),-3.00862e-08+1i*(-5.35322e-09),-0.00638698+1i*(0.00127175),5.68215e-09+1i*(-4.11361e-09),6.07465e-07+1i*(-3.06893e-07),-2.12369e-06+1i*(6.77313e-07),0.00667123+1i*(1.22786e-05),
1.03532,-0.0025315+1i*(0.000985692),0.000161005+1i*(0.000991461),-9.42029e-07+1i*(-9.09668e-07),-3.23132e-08+1i*(-5.92504e-09),-0.00636786+1i*(0.00131231),6.49458e-09+1i*(-4.87516e-09),6.46104e-07+1i*(-3.39442e-07),-2.26276e-06+1i*(7.47845e-07),0.00667189+1i*(1.35401e-05),
1.07189,-0.00253151+1i*(0.00102054),0.000176857+1i*(0.0010228),-9.67157e-07+1i*(-9.47674e-07),-3.47091e-08+1i*(-6.55682e-09),-0.00634752+1i*(0.00135386),7.40731e-09+1i*(-5.77276e-09),6.86811e-07+1i*(-3.75356e-07),-2.40994e-06+1i*(8.25438e-07),0.00667265+1i*(1.49244e-05),
1.10975,-0.00253151+1i*(0.00105663),0.000193728+1i*(0.00105486),-9.91869e-07+1i*(-9.88658e-07),-3.72874e-08+1i*(-7.25467e-09),-0.00632587+1i*(0.00139639),8.43001e-09+1i*(-6.82972e-09),7.29637e-07+1i*(-4.1497e-07),-2.56559e-06+1i*(9.10749e-07),0.00667351+1i*(1.64421e-05),
1.14895,-0.00253151+1i*(0.00109399),0.000211672+1i*(0.00108765),-1.01586e-06+1i*(-1.03308e-06),-4.00624e-08+1i*(-8.02526e-09),-0.00630284+1i*(0.00143989),9.57265e-09+1i*(-8.07305e-09),7.74625e-07+1i*(-4.58647e-07),-2.73003e-06+1i*(1.00449e-06),0.00667449+1i*(1.81048e-05),
1.18953,-0.00253151+1i*(0.00113268),0.000230749+1i*(0.00112115),-1.03879e-06+1i*(-1.08147e-06),-4.30498e-08+1i*(-8.87593e-09),-0.00627836+1i*(0.00148433),1.08454e-08+1i*(-9.53407e-09),8.21804e-07+1i*(-5.06781e-07),-2.90359e-06+1i*(1.10742e-06),0.00667561+1i*(1.99244e-05),
1.23155,-0.00253152+1i*(0.00117273),0.000251019+1i*(0.00115534),-1.06026e-06+1i*(-1.13447e-06),-4.62666e-08+1i*(-9.81471e-09),-0.00625236+1i*(0.00152971),1.22582e-08+1i*(-1.1249e-08),8.71194e-07+1i*(-5.59805e-07),-3.08658e-06+1i*(1.22037e-06),0.00667689+1i*(2.19138e-05),
1.27505,-0.00253152+1i*(0.00121421),0.000272544+1i*(0.0011902),-1.07979e-06+1i*(-1.19284e-06),-4.9731e-08+1i*(-1.08504e-08),-0.00622475+1i*(0.00157599),1.38207e-08+1i*(-1.32596e-08),9.22796e-07+1i*(-6.18185e-07),-3.27928e-06+1i*(1.34422e-06),0.00667835+1i*(2.40862e-05),
1.32009,-0.00253152+1i*(0.00125716),0.000295387+1i*(0.0012257),-1.09687e-06+1i*(-1.25746e-06),-5.3463e-08+1i*(-1.19926e-08),-0.00619545+1i*(0.00162314),1.55417e-08+1i*(-1.5614e-08),9.7659e-07+1i*(-6.82429e-07),-3.48197e-06+1i*(1.47991e-06),0.00668001+1i*(2.64557e-05),
1.36672,-0.00253153+1i*(0.00130164),0.000319613+1i*(0.00126182),-1.11089e-06+1i*(-1.32937e-06),-5.74842e-08+1i*(-1.32517e-08),-0.00616439+1i*(0.00167113),1.74287e-08+1i*(-1.83675e-08),1.03254e-06+1i*(-7.53087e-07),-3.69489e-06+1i*(1.62845e-06),0.0066819+1i*(2.90367e-05),
