10,0.0148664+1i*(-0.0419758),0+1i*(0),0+1i*(0),-0.0297328+1i*(0.0839517),0+1i*(0),0+1i*(0),0+1i*(0),0.0148664+1i*(-0.0419758),0+1i*(0),0+1i*(0),-0.0297328+1i*(0.0839517),0+1i*(0),0+1i*(0),0+1i*(0),0.0148664+1i*(-0.0419758),0+1i*(0),0+1i*(0),-0.0297328+1i*(0.0839517),-0.0297328+1i*(0.0839517),0+1i*(0),0+1i*(0),0.0594656+1i*(-0.167903),0+1i*(0),0+1i*(0),0+1i*(0),-0.0297328+1i*(0.0839517),0+1i*(0),0+1i*(0),0.0594656+1i*(-0.167903),0+1i*(0),0+1i*(0),0+1i*(0),-0.0297328+1i*(0.0839517),0+1i*(0),0+1i*(0),0.0594656+1i*(-0.167903),
20,0.00405561+1i*(-0.0229023),0+1i*(0),0+1i*(0),-0.00811122+1i*(0.0458046),0+1i*(0),0+1i*(0),0+1i*(0),0.00405561+1i*(-0.0229023),0+1i*(0),0+1i*(0),-0.00811122+1i*(0.0458046),0+1i*(0),0+1i*(0),0+1i*(0),0.00405561+1i*(-0.0229023),0+1i*(0),0+1i*(0),-0.00811122+1i*(0.0458046),-0.00811122+1i*(0.0458046),0+1i*(0),0+1i*(0),0.0162224+1i*(-0.0916093),0+1i*(0),0+1i*(0),0+1i*(0),-0.00811122+1i*(0.0458046),0+1i*(0),0+1i*(0),0.0162224+1i*(-0.0916093),0+1i*(0),0+1i*(0),0+1i*(0),-0.00811122+1i*(0.0458046),0+1i*(0),0+1i*(0),0.0162224+1i*(-0.0916093),
30,0.00183346+1i*(-0.0155306),0+1i*(0),0+1i*(0),-0.00366693+1i*(0.0310611),0+1i*(0),0+1i*(0),0+1i*(0),0.00183346+1i*(-0.0155306),0+1i*(0),0+1i*(0),-0.00366693+1i*(0.0310611),0+1i*(0),0+1i*(0),0+1i*(0),0.00183346+1i*(-0.0155306),0+1i*(0),0+1i*(0),-0.00366693+1i*(0.0310611),-0.00366693+1i*(0.0310611),0+1i*(0),0+1i*(0),0.00733385+1i*(-0.0621222),0+1i*(0),0+1i*(0),0+1i*(0),-0.00366693+1i*(0.0310611),0+1i*(0),0+1i*(0),0.00733385+1i*(-0.0621222),0+1i*(0),0+1i*(0),0+1i*(0),-0.00366693+1i*(0.0310611),0+1i*(0),0+1i*(0),0.00733385+1i*(-0.0621222),
40,0.00103756+1i*(-0.0117184),0+1i*(0),0+1i*(0),-0.00207513+1i*(0.0234368),0+1i*(0),0+1i*(0),0+1i*(0),0.00103756+1i*(-0.0117184),0+1i*(0),0+1i*(0),-0.00207513+1i*(0.0234368),0+1i*(0),0+1i*(0),0+1i*(0),0.00103756+1i*(-0.0117184),0+1i*(0),0+1i*(0),-0.00207513+1i*(0.0234368),-0.00207513+1i*(0.0234368),0+1i*(0),0+1i*(0),0.00415025+1i*(-0.0468735),0+1i*(0),0+1i*(0),0+1i*(0),-0.00207513+1i*(0.0234368),0+1i*(0),0+1i*(0),0.00415025+1i*(-0.0468735),0+1i*(0),0+1i*(0),0+1i*(0),-0.00207513+1i*(0.0234368),0+1i*(0),0+1i*(0),0.00415025+1i*(-0.0468735),
50,0.000665905+1i*(-0.00940103),0+1i*(0),0+1i*(0),-0.00133181+1i*(0.0188021),0+1i*(0),0+1i*(0),0+1i*(0),0.000665905+1i*(-0.00940103),0+1i*(0),0+1i*(0),-0.00133181+1i*(0.0188021),0+1i*(0),0+1i*(0),0+1i*(0),0.000665905+1i*(-0.00940103),0+1i*(0),0+1i*(0),-0.00133181+1i*(0.0188021),-0.00133181+1i*(0.0188021),0+1i*(0),0+1i*(0),0.00266362+1i*(-0.0376041),0+1i*(0),0+1i*(0),0+1i*(0),-0.00133181+1i*(0.0188021),0+1i*(0),0+1i*(0),0.00266362+1i*(-0.0376041),0+1i*(0),0+1i*(0),0+1i*(0),-0.00133181+1i*(0.0188021),0+1i*(0),0+1i*(0),0.00266362+1i*(-0.0376041),
60,0.00046314+1i*(-0.00784616),0+1i*(0),0+1i*(0),-0.000926281+1i*(0.0156923),0+1i*(0),0+1i*(0),0+1i*(0),0.00046314+1i*(-0.00784616),0+1i*(0),0+1i*(0),-0.000926281+1i*(0.0156923),0+1i*(0),0+1i*(0),0+1i*(0),0.00046314+1i*(-0.00784616),0+1i*(0),0+1i*(0),-0.000926281+1i*(0.0156923),-0.000926281+1i*(0.0156923),0+1i*(0),0+1i*(0),0.00185256+1i*(-0.0313847),0+1i*(0),0+1i*(0),0+1i*(0),-0.000926281+1i*(0.0156923),0+1i*(0),0+1i*(0),0.00185256+1i*(-0.0313847),0+1i*(0),0+1i*(0),0+1i*(0),-0.000926281+1i*(0.0156923),0+1i*(0),0+1i*(0),0.00185256+1i*(-0.0313847),
70,0.00034058+1i*(-0.00673148),0+1i*(0),0+1i*(0),-0.00068116+1i*(0.013463),0+1i*(0),0+1i*(0),0+1i*(0),0.00034058+1i*(-0.00673148),0+1i*(0),0+1i*(0),-0.00068116+1i*(0.013463),0+1i*(0),0+1i*(0),0+1i*(0),0.00034058+1i*(-0.00673148),0+1i*(0),0+1i*(0),-0.00068116+1i*(0.013463),-0.00068116+1i*(0.013463),0+1i*(0),0+1i*(0),0.00136232+1i*(-0.0269259),0+1i*(0),0+1i*(0),0+1i*(0),-0.00068116+1i*(0.013463),0+1i*(0),0+1i*(0),0.00136232+1i*(-0.0269259),0+1i*(0),0+1i*(0),0+1i*(0),-0.00068116+1i*(0.013463),0+1i*(0),0+1i*(0),0.00136232+1i*(-0.0269259),
80,0.000260913+1i*(-0.00589357),0+1i*(0),0+1i*(0),-0.000521826+1i*(0.0117871),0+1i*(0),0+1i*(0),0+1i*(0),0.000260913+1i*(-0.00589357),0+1i*(0),0+1i*(0),-0.000521826+1i*(0.0117871),0+1i*(0),0+1i*(0),0+1i*(0),0.000260913+1i*(-0.00589357),0+1i*(0),0+1i*(0),-0.000521826+1i*(0.0117871),-0.000521826+1i*(0.0117871),0+1i*(0),0+1i*(0),0.00104365+1i*(-0.0235743),0+1i*(0),0+1i*(0),0+1i*(0),-0.000521826+1i*(0.0117871),0+1i*(0),0+1i*(0),0.00104365+1i*(-0.0235743),0+1i*(0),0+1i*(0),0+1i*(0),-0.000521826+1i*(0.0117871),0+1i*(0),0+1i*(0),0.00104365+1i*(-0.0235743),
90,0.000206238+1i*(-0.00524088),0+1i*(0),0+1i*(0),-0.000412476+1i*(0.0104818),0+1i*(0),0+1i*(0),0+1i*(0),0.000206238+1i*(-0.00524088),0+1i*(0),0+1i*(0),-0.000412476+1i*(0.0104818),0+1i*(0),0+1i*(0),0+1i*(0),0.000206238+1i*(-0.00524088),0+1i*(0),0+1i*(0),-0.000412476+1i*(0.0104818),-0.000412476+1i*(0.0104818),0+1i*(0),0+1i*(0),0.000824952+1i*(-0.0209635),0+1i*(0),0+1i*(0),0+1i*(0),-0.000412476+1i*(0.0104818),0+1i*(0),0+1i*(0),0.000824952+1i*(-0.0209635),0+1i*(0),0+1i*(0),0+1i*(0),-0.000412476+1i*(0.0104818),0+1i*(0),0+1i*(0),0.000824952+1i*(-0.0209635),
100,0.000167102+1i*(-0.00471818),0+1i*(0),0+1i*(0),-0.000334204+1i*(0.00943636),0+1i*(0),0+1i*(0),0+1i*(0),0.000167102+1i*(-0.00471818),0+1i*(0),0+1i*(0),-0.000334204+1i*(0.00943636),0+1i*(0),0+1i*(0),0+1i*(0),0.000167102+1i*(-0.00471818),0+1i*(0),0+1i*(0),-0.000334204+1i*(0.00943636),-0.000334204+1i*(0.00943636),0+1i*(0),0+1i*(0),0.000668408+1i*(-0.0188727),0+1i*(0),0+1i*(0),0+1i*(0),-0.000334204+1i*(0.00943636),0+1i*(0),0+1i*(0),0.000668408+1i*(-0.0188727),0+1i*(0),0+1i*(0),0+1i*(0),-0.000334204+1i*(0.00943636),0+1i*(0),0+1i*(0),0.000668408+1i*(-0.0188727),
