freq_Hz,passivity_index,shifted_passivity,max_phase_deg,nr_phase_deg,nr_zero_margin,small_gain,shortage_passivity,min_real_eig,dw_margin
1,-0.0176898956458,-0.0176898956458,133.177461521,180,-0.00972394589149,0.0331710158574,0.0176898956458,-0.0146107768883,-0.00972394589149
1.19377664171,-0.0178602212557,-0.0178602212557,131.755615639,180,-0.00842697970129,0.033219228706,0.0178602212557,-0.0155709977085,-0.00842697970129
1.4251026703,-0.0180858918017,-0.0180858918017,130.214854431,180,-0.00686664010014,0.0332950795427,0.0180858918017,-0.0165461557785,-0.00686664010014
1.70125427985,-0.0183736762516,-0.0183736762516,128.490826282,180,-0.00508886092299,0.0334248112269,0.0183736762516,-0.0174962971263,-0.00508886092299
2.0309176209,-0.0187175446367,-0.0187175446367,126.505634442,180,-0.00300669294357,0.0336916499866,0.0187175446367,-0.0183547895274,-0.00300669294357
2.42446201708,-0.0190813757699,-0.0190813757699,124.168469191,180,-0.000794195461636,0.0345213492665,0.0190813757699,-0.0190142802876,-0.000794195461636
2.89426612472,-0.0193721552422,-0.0193721552422,121.386714827,180,-0.000495137091372,0.0375325171934,0.0193721552422,-0.0193142414107,-0.000495137091372
3.45510729459,-0.0194145064433,-0.0194145064433,118.098344111,180,-0.00246364372684,0.0422098362516,0.0194145064433,-0.0190486549167,-0.00246364372684
4.1246263829,-0.0189645812399,-0.0189645812399,114.33060846,180,-0.00428340184219,0.0468283453921,0.0189645812399,-0.0180277671928,-0.00428340184219
4.92388263171,-0.0178134759205,-0.0178134759205,110.25857513,180,-0.00557145746413,0.0505994638609,0.0178134759205,-0.0162062751042,-0.00557145746413
5.87801607227,-0.0159481008655,-0.0159481008655,106.195662022,180,-0.00628355936081,0.0532001037456,0.0159481008655,-0.0137905702661,-0.00628355936081
7.0170382867,-0.0136054006107,-0.0136054006107,102.479216,180,-0.00620552840788,0.0548396684614,0.0136054006107,-0.0111766901446,-0.00620552840788
8.37677640068,-0.011134385596,-0.011134385596,99.3309036258,180,-0.0057164541222,0.0561283876198,0.011134385596,-0.00873975678659,-0.0057164541222
10,-0.00881500900043,-0.00881500900043,96.8048454505,180,-0.00498682169398,0.0577723783927,0.00881500900043,-0.00667968542475,-0.00498682169398
11.9377664171,-0.00678464816496,-0.00678464816496,94.8306263471,180,-0.00379362774597,0.0603972574557,0.00678464816496,-0.00501962095231,-0.00379362774597
14.251026703,-0.00505664953923,-0.00505664953923,93.2824118107,180,-0.00262491844875,0.0646298430635,0.00505664953923,-0.00367731480258,-0.00262491844875
17.0125427985,-0.00355350995236,-0.00355350995236,92.0243737273,180,-0.00161200451574,0.0714244301368,0.00355350995236,-0.00251635664914,-0.00161200451574
20.309176209,-0.0020977166272,-0.0020977166272,90.9208071899,180,-0.000641231813804,0.0828200515974,0.0020977166272,-0.00132973093509,-0.000641231813804
24.2446201708,-0.000279008132254,-0.000279008132254,89.8029310078,180,-0.000215390180393,0.104469091441,0.000279008132254,0.000359250548026,-0.000215390180393
28.9426612472,0.00109577800892,0.00109577800892,88.256134005,177,0.00109577800892,0.160608830203,0,0.00109782676629,0.00109577800892
34.5510729459,0.000433752922956,0.000433752922956,87.5315489926,177,0.00249760133912,0.822185899602,0,0.000962440171999,0.00249760133912
41.246263829,-0.000919301751714,-0.000919301751714,87.2774800048,180,0.0203237042378,0.0869660630957,0.000919301751714,0.000978308215793,0.0203237042378
49.2388263171,0.000156136680286,0.000156136680286,88.1207864785,177,0.00559675727222,0.0461210044694,0,0.000625444103681,0.00559675727222
58.7801607227,0.000371015571637,0.000371015571637,88.0213977939,177,0.0141670812626,0.246139695783,0,0.000599939114644,0.0141670812626
70.170382867,0.000356792464145,0.000356792464145,88.2444928257,177,0.0157084644173,0.131718537435,0,0.00048284584218,0.0157084644173
83.7677640068,0.000300266078485,0.000300266078485,88.5702138063,177,0.0141427300836,0.0639408184268,0,0.000353182385609,0.0141427300836
100,0.000231280128377,0.000231280128377,88.8566429726,177,0.0125999196457,0.0396105354733,0,0.000251498709189,0.0125999196457
119.377664171,0.000177100929821,0.000177100929821,89.0742653939,177,0.0111383604255,0.0258586050753,0,0.000179983804008,0.0111383604255
142.51026703,0.000126084843958,0.000126084843958,89.2392657223,177,0.00978276397329,0.0211118691485,0,0.000129898170268,0.00978276397329
170.125427985,9.25066052115e-05,9.25066052115e-05,89.3677614222,177,0.00854308974254,0.0159337379316,0,9.42742446369e-05,0.00854308974254
203.09176209,6.75952888429e-05,6.75952888429e-05,89.47075622,177,0.00742178060675,0.0123888833098,0,6.85574405999e-05,0.00742178060675
242.446201708,4.92292869133e-05,4.92292869133e-05,89.5549773624,177,0.00641736635703,0.00980880027761,0,4.98454614709e-05,0.00641736635703
