freq_Hz,passivity_index,shifted_passivity,max_phase_deg,nr_phase_deg,nr_zero_margin,small_gain,shortage_passivity,min_real_eig,dw_margin
1,-0.0176898956458,-0.0176898956458,133.177461521,180,-0.00972394589149,0.0331710158574,0.0176898956458,-0.0146107768883,-0.00972394589149
1.12421003506,-0.0177967870456,-0.0177967870456,132.248047693,180,-0.0088866709235,0.0332005264298,0.0177967870456,-0.0152423839356,-0.0088866709235
1.26384820293,-0.0179263934935,-0.0179263934935,131.275267801,180,-0.00796215657252,0.0332398314732,0.0179263934935,-0.0158849138929,-0.00796215657252
1.42083083253,-0.0180815576,-0.0180815576,130.242296314,180,-0.0068951836757,0.0332934563485,0.0180815576,-0.0165296929331,-0.0068951836757
1.59731228006,-0.0182640807764,-0.0182640807764,129.130054805,180,-0.00574787128565,0.0333694724432,0.0182640807764,-0.0171644506498,-0.00574787128565
1.79571449437,-0.018473511214,-0.018473511214,127.916833623,180,-0.00445903346014,0.0334843124521,0.018473511214,-0.0177719417025,-0.00445903346014
2.01876025468,-0.0187052341629,-0.0187052341629,126.578153495,180,-0.00307563605966,0.0336780398791,0.0187052341629,-0.0183282028622,-0.00307563605966
2.26951053669,-0.0189476830061,-0.0189476830061,125.087188286,180,-0.0016252744094,0.0340734026023,0.0189476830061,-0.018800585953,-0.0016252744094
2.55140652003,-0.0191786861216,-0.0191786861216,123.416262355,180,-0.000419019206898,0.0350884259237,0.0191786861216,-0.019146048696,-0.000419019206898
2.86831681334,-0.0193615168709,-0.0193615168709,121.540111167,180,-0.000409042527989,0.0373180726083,0.0193615168709,-0.0193107955306,-0.000409042527989
3.2245905453,-0.019442296551,-0.019442296551,119.441555495,180,-0.00166877802,0.0403310919079,0.019442296551,-0.0192331712019,-0.00166877802
3.62511704999,-0.0193518346121,-0.0193518346121,117.119616947,180,-0.00299944629244,0.0435099205719,0.0193518346121,-0.0188521947766,-0.00299944629244
4.07539296587,-0.01901561472,-0.01901561472,114.598527649,180,-0.00420055152905,0.0465355765953,0.01901561472,-0.0181230225503,-0.00420055152905
4.58159766905,-0.0183731730457,-0.0183731730457,111.933835,180,-0.00518123845939,0.0491997994934,0.0183731730457,-0.0170365824529,-0.00518123845939
5.15067807617,-0.0174013887743,-0.0174013887743,109.210579032,180,-0.00587404627413,0.0513726481898,0.0174013887743,-0.0156346246097,-0.00587404627413
5.7904439806,-0.0161293525504,-0.0161293525504,106.530811653,180,-0.00622432035375,0.0530234004116,0.0161293525504,-0.0140090331434,-0.00622432035375
6.50967523046,-0.0146340478224,-0.0146340478224,103.993637108,180,-0.00627053454487,0.0542287264792,0.0146340478224,-0.012281351828,-0.00627053454487
7.31824221908,-0.0130180945629,-0.0130180945629,101.676060474,180,-0.00608729142971,0.0551503085482,0.0130180945629,-0.010571599709,-0.00608729142971
8.2272413417,-0.0113823492676,-0.0113823492676,99.62232593,180,-0.00580734052816,0.0559924845179,0.0113823492676,-0.00897211356046,-0.00580734052816
9.24914727722,-0.00980630980151,-0.00980630980151,97.8438368189,180,-0.00526858004492,0.0569619369183,0.00980630980151,-0.00753628944875,-0.00526858004492
10.3979841848,-0.00834070365884,-0.00834070365884,96.3264087068,180,-0.00483219370153,0.0582460848881,0.00834070365884,-0.00628129338221,-0.00483219370153
11.689518165,-0.00700906693396,-0.00700906693396,95.0399274298,180,-0.00396564431362,0.0600152612394,0.00700906693396,-0.00519776048193,-0.00396564431362
13.1414736261,-0.00581295589535,-0.00581295589535,93.9467712856,180,-0.0030966008709,0.0624458212426,0.00581295589535,-0.0042598304936,-0.0030966008709
14.773776526,-0.00473670625125,-0.00473670625125,93.007389083,180,-0.00244899828335,0.0657612921035,0.00473670625125,-0.00343176413181,-0.00244899828335
16.6088278263,-0.00374921170773,-0.00374921170773,92.1828189491,180,-0.00178112002418,0.0702977821947,0.00374921170773,-0.00266946573433,-0.00178112002418
18.6718109129,-0.0028001882231,-0.0028001882231,91.4343574485,180,-0.00103560247595,0.0766220344527,0.0028001882231,-0.00191496411969,-0.00103560247595
20.9910372011,-0.00180533392296,-0.00180533392296,90.7199818847,180,-0.000522137300174,0.0857878444116,0.00180533392296,-0.0010772027499,-0.000522137300174
