freq_Hz,passivity_index,shifted_passivity,max_phase_deg,min_real_eig,dw_margin
1,0.998231010435,0.998231010435,133.177461521,-0.00146107768883,0.998231010435
1.12421003506,0.998220321295,0.998220321295,132.248047693,-0.00152423839356,0.998220321295
1.26384820293,0.998207360651,0.998207360651,131.275267801,-0.00158849138929,0.998207360651
1.42083083253,0.99819184424,0.99819184424,130.242296314,-0.00165296929331,0.99819184424
1.59731228006,0.998173591922,0.998173591922,129.130054805,-0.00171644506498,0.998173591922
1.79571449437,0.998152648879,0.998152648879,127.916833623,-0.00177719417025,0.998152648879
2.01876025468,0.998129476584,0.998129476584,126.578153495,-0.00183282028622,0.998129476584
2.26951053669,0.998105231699,0.998105231699,125.087188286,-0.0018800585953,0.998105231699
2.55140652003,0.998082131388,0.998082131388,123.416262355,-0.0019146048696,0.998082131388
2.86831681334,0.998063848313,0.998063848313,121.540111167,-0.00193107955306,0.998063848313
3.2245905453,0.998055770345,0.998055770345,119.441555495,-0.00192331712019,0.998055770345
3.62511704999,0.998064816539,0.998064816539,117.119616947,-0.00188521947766,0.998064816539
4.07539296587,0.998098438528,0.998098438528,114.598527649,-0.00181230225503,0.998098438528
4.58159766905,0.998162682695,0.998162682695,111.933835,-0.00170365824529,0.998162682695
5.15067807617,0.998259861123,0.998259861123,109.210579032,-0.00156346246097,0.998259861123
5.7904439806,0.998387064745,0.998387064745,106.530811653,-0.00140090331434,0.998387064745
6.50967523046,0.998536595218,0.998536595218,103.993637108,-0.0012281351828,0.998536595218
7.31824221908,0.998698190544,0.998698190544,101.676060474,-0.0010571599709,0.998698190544
8.2272413417,0.998861765073,0.998861765073,99.62232593,-0.000897211356046,0.998861765073
9.24914727722,0.99901936902,0.99901936902,97.8438368189,-0.000753628944875,0.99901936902
10.3979841848,0.999165929634,0.999165929634,96.3264087068,-0.000628129338221,0.999165929634
11.689518165,0.999299093307,0.999299093307,95.0399274298,-0.000519776048193,0.999299093307
13.1414736261,0.99941870441,0.99941870441,93.9467712856,-0.00042598304936,0.99941870441
14.773776526,0.999526329375,0.999526329375,93.007389083,-0.000343176413181,0.999526329375
16.6088278263,0.999625078829,0.999625078829,92.1828189491,-0.000266946573433,0.999625078829
18.6718109129,0.999719981178,0.999719981178,91.4343574485,-0.000191496411969,0.999719981178
20.9910372011,0.999819466608,0.999819466608,90.7199818847,-0.00010772027499,0.999819466608
23.5983346678,0.999939139272,0.999939139272,89.9844186902,2.71902544577e-06,0.999939139272
26.5294846443,1.00008534736,1.00008534736,89.1274012802,0.000118790510501,1.00008534736
29.8247128622,1.0001052548,1.0001052548,87.8453892321,0.000107012016895,1.0001052548
33.5292414925,1.00006371678,1.00006371678,87.5186123596,9.80111954533e-05,1.00006371678
37.6939097539,0.999943071332,0.999943071332,87.519206261,9.30327698928e-05,0.999943071332
42.375871606,0.999926650002,0.999926650002,86.9951664714,0.000106579482284,0.999926650002
47.639380104,1.00000412728,1.00000412728,88.2203949447,6.03647533074e-05,1.00000412728
53.5566691771,1.00003135818,1.00003135818,88.0178655057,6.31032473575e-05,1.00003135818
60.2089449334,1.00003756518,1.00003756518,88.0368234669,5.87709207397e-05,1.00003756518
67.6875000946,1.0000366738,1.0000366738,88.1817136051,5.10485656315e-05,1.0000366738
76.0949668546,1.00003244295,1.00003244295,88.4335624532,4.10651108468e-05,1.00003244295
85.5467253557,1.00002916935,1.00002916935,88.6075623655,3.39408510627e-05,1.00002916935
96.1724871115,1.00002456615,1.00002456615,88.7996482993,2.71058462348e-05,1.00002456615
108.118075108,1.00002045993,1.00002045993,88.9603425745,2.16762449252e-05,1.00002045993
121.547425008,1.00001727909,1.00001727909,89.0931867605,1.74042138957e-05,1.00001727909
136.64483493,1.0000135711,1.0000135711,89.2039766749,1.40251214164e-05,1.0000135711
153.617494667,1.0000111202,1.0000111202,89.2974380219,1.1334543942e-05,1.0000111202
172.698329066,1.00000900917,1.00000900917,89.37736283,9.17597969875e-06,1.00000900917
194.149194574,1.00000732317,1.00000732317,89.4465658334,7.43368191055e-06,1.00000732317
218.26447284,1.00000594393,1.00000594393,89.5069949459,6.02274494141e-06,1.00000594393
245.375110664,1.00000481768,1.00000481768,89.5601257371,4.8777734595e-06,1.00000481768
275.853161763,1.0000038994,1.0000038994,89.607080753,3.9477574772e-06,1.0000038994
310.116892657,1.00000315174,1.00000315174,89.6487355187,3.19225384956e-06,1.00000315174
348.636522768,1.00000254388,1.00000254388,89.685789852,2.57879836222e-06,1.00000254388
391.940677485,1.00000205039,1.00000205039,89.7188159115,2.0811041089e-06,1.00000205039
440.623642777,1.00000165034,1.00000165034,89.7482909026,1.67776540796e-06,1.00000165034
495.353520896,1.00000132653,1.00000132653,89.7746196574,1.3512938665e-06,1.00000132653
556.881399095,1.00000106477,1.00000106477,89.7981504804,1.08737945576e-06,1.00000106477
626.051657201,1.00000085346,1.00000085346,89.8191864667,8.74309585975e-07,1.00000085346
703.813555493,1.00000068305,1.00000068305,89.8379937431,7.02503378865e-07,1.00000068305
791.234261898,1.00000054576,1.00000054576,89.8561381727,5.64133001956e-07,1.00000054576
889.513497311,1.00000043522,1.00000043522,89.8733896686,4.52812897537e-07,1.00000043522
1000,1.00000034627,1.00000034627,89.8885692537,3.633433077e-07,1.00000034627
