freq_Hz,passivity_index,shifted_passivity,max_phase_deg,min_real_eig,dw_margin
1,-0.0176898956458,-0.0176898956458,133.177461521,-0.0146107768883,-0.0176898956458
1.19377664171,-0.0178602212557,-0.0178602212557,131.755615639,-0.0155709977085,-0.0178602212557
1.4251026703,-0.0180858918017,-0.0180858918017,130.214854431,-0.0165461557785,-0.0180858918017
1.70125427985,-0.0183736762516,-0.0183736762516,128.490826282,-0.0174962971263,-0.0183736762516
2.0309176209,-0.0187175446367,-0.0187175446367,126.505634442,-0.0183547895274,-0.0187175446367
2.42446201708,-0.0190813757699,-0.0190813757699,124.168469191,-0.0190142802876,-0.0190813757699
2.89426612472,-0.0193721552422,-0.0193721552422,121.386714827,-0.0193142414107,-0.0193721552422
3.45510729459,-0.0194145064433,-0.0194145064433,118.098344111,-0.0190486549167,-0.0194145064433
4.1246263829,-0.0189645812399,-0.0189645812399,114.33060846,-0.0180277671928,-0.0189645812399
4.92388263171,-0.0178134759205,-0.0178134759205,110.25857513,-0.0162062751042,-0.0178134759205
5.87801607227,-0.0159481008655,-0.0159481008655,106.195662022,-0.0137905702661,-0.0159481008655
7.0170382867,-0.0136054006107,-0.0136054006107,102.479216,-0.0111766901446,-0.0136054006107
8.37677640068,-0.011134385596,-0.011134385596,99.3309036258,-0.00873975678659,-0.011134385596
10,-0.00881500900043,-0.00881500900043,96.8048454505,-0.00667968542475,-0.00881500900043
11.9377664171,-0.00678464816496,-0.00678464816496,94.8306263471,-0.00501962095231,-0.00678464816496
14.251026703,-0.00505664953923,-0.00505664953923,93.2824118107,-0.00367731480258,-0.00505664953923
17.0125427985,-0.00355350995236,-0.00355350995236,92.0243737273,-0.00251635664914,-0.00355350995236
20.309176209,-0.0020977166272,-0.0020977166272,90.9208071899,-0.00132973093509,-0.0020977166272
24.2446201708,-0.000279008132254,-0.000279008132254,89.8029310078,0.000359250548026,-0.000279008132254
28.9426612472,0.00109577800892,0.00109577800892,88.256134005,0.00109782676629,0.00109577800892
34.5510729459,0.000433752922956,0.000433752922956,87.5315489926,0.000962440171999,0.000433752922956
41.246263829,-0.000919301751714,-0.000919301751714,87.2774800048,0.000978308215793,-0.000919301751714
49.2388263171,0.000156136680286,0.000156136680286,88.1207864785,0.000625444103681,0.000156136680286
58.7801607227,0.000371015571637,0.000371015571637,88.0213977939,0.000599939114644,0.000371015571637
70.170382867,0.000356792464145,0.000356792464145,88.2444928257,0.00048284584218,0.000356792464145
83.7677640068,0.000300266078485,0.000300266078485,88.5702138063,0.000353182385609,0.000300266078485
100,0.000231280128377,0.000231280128377,88.8566429726,0.000251498709189,0.000231280128377
119.377664171,0.000177100929821,0.000177100929821,89.0742653939,0.000179983804008,0.000177100929821
142.51026703,0.000126084843958,0.000126084843958,89.2392657223,0.000129898170268,0.000126084843958
170.125427985,9.25066052115e-05,9.25066052115e-05,89.3677614222,9.42742446369e-05,9.25066052115e-05
203.09176209,6.75952888429e-05,6.75952888429e-05,89.47075622,6.85574405999e-05,6.75952888429e-05
242.446201708,4.92292869133e-05,4.92292869133e-05,89.5549773624,4.98454614709e-05,4.92292869133e-05
289.426612472,3.5739173844e-05,3.5739173844e-05,89.6247679183,3.61869993243e-05,3.5739173844e-05
345.510729459,2.58628005534e-05,2.58628005534e-05,89.683089176,2.62157508456e-05,2.58628005534e-05
412.46263829,1.8656101934e-05,1.8656101934e-05,89.732075288,1.89479930128e-05,1.8656101934e-05
492.388263171,1.34151233369e-05,1.34151233369e-05,89.7733402927,1.36640390747e-05,1.34151233369e-05
587.801607227,9.61596757138e-06,9.61596757138e-06,89.8081525138,9.83346477953e-06,9.61596757138e-06
701.70382867,6.86979393931e-06,6.86979393931e-06,89.8375373528,7.06460843433e-06,6.86979393931e-06
837.677640068,4.88911548442e-06,4.88911548442e-06,89.8648203937,5.06868169201e-06,4.88911548442e-06
1000,3.46266787474e-06,3.46266787474e-06,89.8885692537,3.633433077e-06,3.46266787474e-06
