1,-0.00199877+1i*(-0.000494109),0.00456676+1i*(-0.000382857),0.000203132+1i*(-1.87101e-05),-4.55494e-06+1i*(6.59587e-07),0.00656359+1i*(-0.000822674),-6.11522e-07+1i*(7.60215e-08),-1.41865e-06+1i*(9.52957e-07),2.56054e-07+1i*(3.33292e-06),4.63369e-08+1i*(-0.000147756),
1.00693,-0.00199389+1i*(-0.000498489),0.00456546+1i*(-0.000383225),0.000203186+1i*(-1.87686e-05),-4.61693e-06+1i*(6.73197e-07),0.00656218+1i*(-0.00082817),-6.19876e-07+1i*(7.7591e-08),-1.44164e-06+1i*(9.56824e-07),2.65718e-07+1i*(3.35744e-06),4.67924e-08+1i*(-0.00014878),
1.01391,-0.00198895+1i*(-0.000502892),0.00456417+1i*(-0.000383602),0.000203242+1i*(-1.88276e-05),-4.67974e-06+1i*(6.87085e-07),0.00656076+1i*(-0.000833699),-6.28342e-07+1i*(7.91926e-08),-1.46496e-06+1i*(9.60695e-07),2.75539e-07+1i*(3.3821e-06),4.72533e-08+1i*(-0.000149811),
1.02094,-0.00198396+1i*(-0.000507317),0.00456288+1i*(-0.000383986),0.000203299+1i*(-1.88871e-05),-4.74338e-06+1i*(7.01257e-07),0.00655932+1i*(-0.000839263),-6.36922e-07+1i*(8.08269e-08),-1.48862e-06+1i*(9.6457e-07),2.85519e-07+1i*(3.40689e-06),4.77196e-08+1i*(-0.000150849),
1.02802,-0.00197891+1i*(-0.000511764),0.0045616+1i*(-0.000384377),0.000203358+1i*(-1.89471e-05),-4.80787e-06+1i*(7.15718e-07),0.00655786+1i*(-0.000844861),-6.45616e-07+1i*(8.24946e-08),-1.51263e-06+1i*(9.68449e-07),2.95661e-07+1i*(3.43182e-06),4.81916e-08+1i*(-0.000151895),
1.03514,-0.0019738+1i*(-0.000516234),0.00456032+1i*(-0.000384777),0.000203418+1i*(-1.90076e-05),-4.87321e-06+1i*(7.30474e-07),0.00655638+1i*(-0.000850493),-6.54427e-07+1i*(8.41963e-08),-1.53698e-06+1i*(9.7233e-07),3.05966e-07+1i*(3.45689e-06),4.86692e-08+1i*(-0.000152948),
1.04232,-0.00196863+1i*(-0.000520727),0.00455905+1i*(-0.000385184),0.00020348+1i*(-1.90685e-05),-4.93943e-06+1i*(7.45531e-07),0.00655488+1i*(-0.000856159),-6.63356e-07+1i*(8.59329e-08),-1.56168e-06+1i*(9.76213e-07),3.16436e-07+1i*(3.48209e-06),4.91525e-08+1i*(-0.000154008),
1.04954,-0.0019634+1i*(-0.000525241),0.00455779+1i*(-0.0003856),0.000203543+1i*(-1.913e-05),-5.00652e-06+1i*(7.60895e-07),0.00655336+1i*(-0.00086186),-6.72404e-07+1i*(8.77048e-08),-1.58673e-06+1i*(9.80099e-07),3.27073e-07+1i*(3.50743e-06),4.96416e-08+1i*(-0.000155075),
1.05682,-0.00195811+1i*(-0.000529778),0.00455653+1i*(-0.000386024),0.000203608+1i*(-1.91919e-05),-5.0745e-06+1i*(7.76573e-07),0.00655182+1i*(-0.000867596),-6.81574e-07+1i*(8.95129e-08),-1.61215e-06+1i*(9.83985e-07),3.37879e-07+1i*(3.5329e-06),5.01367e-08+1i*(-0.00015615),
1.06414,-0.00195276+1i*(-0.000534338),0.00455527+1i*(-0.000386456),0.000203674+1i*(-1.92544e-05),-5.14337e-06+1i*(7.92569e-07),0.00655026+1i*(-0.000873367),-6.90865e-07+1i*(9.13579e-08),-1.63793e-06+1i*(9.87872e-07),3.48856e-07+1i*(3.55851e-06),5.06377e-08+1i*(-0.000157232),
1.07152,-0.00194735+1i*(-0.00053892),0.00455402+1i*(-0.000386897),0.000203742+1i*(-1.93173e-05),-5.21316e-06+1i*(8.08892e-07),0.00654868+1i*(-0.000879173),-7.00281e-07+1i*(9.32406e-08),-1.66408e-06+1i*(9.9176e-07),3.60005e-07+1i*(3.58426e-06),5.11447e-08+1i*(-0.000158322),
1.07895,-0.00194188+1i*(-0.000543524),0.00455277+1i*(-0.000387347),0.000203812+1i*(-1.93808e-05),-5.28388e-06+1i*(8.25547e-07),0.00654708+1i*(-0.000885014),-7.09823e-07+1i*(9.51616e-08),-1.6906e-06+1i*(9.95647e-07),3.7133e-07+1i*(3.61015e-06),5.1658e-08+1i*(-0.000159419),
1.08643,-0.00193634+1i*(-0.000548151),0.00455153+1i*(-0.000387806),0.000203883+1i*(-1.94448e-05),-5.35552e-06+1i*(8.42541e-07),0.00654546+1i*(-0.000890891),-7.19491e-07+1i*(9.71217e-08),-1.71751e-06+1i*(9.99533e-07),3.82831e-07+1i*(3.63617e-06),5.21774e-08+1i*(-0.000160524),
1.09396,-0.00193073+1i*(-0.000552799),0.00455029+1i*(-0.000388273),0.000203955+1i*(-1.95093e-05),-5.42812e-06+1i*(8.59881e-07),0.00654381+1i*(-0.000896803),-7.29289e-07+1i*(9.91218e-08),-1.7448e-06+1i*(1.00342e-06),3.94511e-07+1i*(3.66233e-06),5.27032e-08+1i*(-0.000161637),
1.10154,-0.00192506+1i*(-0.000557471),0.00454905+1i*(-0.00038875),0.00020403+1i*(-1.95743e-05),-5.50167e-06+1i*(8.77574e-07),0.00654215+1i*(-0.000902751),-7.39217e-07+1i*(1.01163e-07),-1.77248e-06+1i*(1.0073e-06),4.06373e-07+1i*(3.68863e-06),5.32354e-08+1i*(-0.000162757),
1.10917,-0.00191933+1i*(-0.000562164),0.00454782+1i*(-0.000389236),0.000204106+1i*(-1.96398e-05),-5.57619e-06+1i*(8.95626e-07),0.00654046+1i*(-0.000908734),-7.49277e-07+1i*(1.03245e-07),-1.80056e-06+1i*(1.01118e-06),4.18417e-07+1i*(3.71507e-06),5.37742e-08+1i*(-0.000163885),
1.11686,-0.00191352+1i*(-0.00056688),0.0045466+1i*(-0.000389732),0.000204183+1i*(-1.97059e-05),-5.65169e-06+1i*(9.14045e-07),0.00653875+1i*(-0.000914754),-7.59472e-07+1i*(1.0537e-07),-1.82904e-06+1i*(1.01505e-06),4.30647e-07+1i*(3.74164e-06),5.43195e-08+1i*(-0.000165021),
1.1246,-0.00190765+1i*(-0.000571618),0.00454537+1i*(-0.000390237),0.000204263+1i*(-1.97725e-05),-5.72819e-06+1i*(9.32838e-07),0.00653702+1i*(-0.000920809),-7.69801e-07+1i*(1.07537e-07),-1.85792e-06+1i*(1.01892e-06),4.43064e-07+1i*(3.76835e-06),5.48715e-08+1i*(-0.000166165),
1.1324,-0.0019017+1i*(-0.000576378),0.00454416+1i*(-0.000390752),0.000204344+1i*(-1.98396e-05),-5.80569e-06+1i*(9.52013e-07),0.00653526+1i*(-0.000926901),-7.80268e-07+1i*(1.09749e-07),-1.88722e-06+1i*(1.02279e-06),4.55671e-07+1i*(3.79521e-06),5.54304e-08+1i*(-0.000167316),
